epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.08086,0,39.6272,0,0,0,0,0,0,76.9302,0,5.001e-05,5.001e-05,5.001e-05
2,13.8421,0,38.9431,0,0,0,0,0,0,76.9714,0,0.000103854,0.000103854,0.000103854
3,20.0273,0,38.1312,0,0,0,0,0,0,76.8477,0,0.000143029,0.000143029,0.000143029
4,26.4755,0,37.3481,0,0,0,0,0,0,76.54,0,0.000167534,0.000167534,0.000167534
5,32.5467,0,36.5531,0,0,0,0,0,0,76.3235,0,0.000177369,0.000177369,0.000177369
6,38.5997,0,36.1466,0,0,0,0,0,0,76.0516,0,0.000172534,0.000172534,0.000172534
7,44.8748,0,35.5803,0,0,0,0,0,0,75.7457,0,0.000153031,0.000153031,0.000153031
8,51.0622,0,35.1836,0,0,0,0,0,0,75.4466,0,0.000118857,0.000118857,0.000118857
9,57.9705,0,34.8555,0,0,0,0,0,0,75.1833,0,7.0014e-05,7.0014e-05,7.0014e-05
